ID_Tempo,ano,mes,dia
2024-09-22T23:00:00Z,2024,9,22
2024-09-22T21:30:00Z,2024,9,22
2024-10-30T22:00:00Z,2024,10,30
2024-12-01T21:30:00Z,2024,12,1
2024-12-04T23:00:00Z,2024,12,4
2024-04-28T21:30:00Z,2024,4,28
2024-07-16T22:00:00Z,2024,7,16
2024-08-04T20:00:00Z,2024,8,4
2024-10-17T00:45:00Z,2024,10,17
2024-07-03T23:00:00Z,2024,7,3
2024-11-02T21:30:00Z,2024,11,2
2024-06-02T21:30:00Z,2024,6,2
2024-10-26T19:30:00Z,2024,10,26
2024-11-07T00:00:00Z,2024,11,7
2024-07-24T22:00:00Z,2024,7,24
2024-10-09T22:30:00Z,2024,10,9
2024-11-23T22:30:00Z,2024,11,23
2024-08-18T21:30:00Z,2024,8,18
2024-10-26T21:30:00Z,2024,10,26
2024-06-22T19:00:00Z,2024,6,22
2024-07-13T19:00:00Z,2024,7,13
2024-09-14T19:00:00Z,2024,9,14
2024-08-10T19:00:00Z,2024,8,10
2024-09-28T21:30:00Z,2024,9,28
2024-07-10T21:30:00Z,2024,7,10
2024-07-04T23:00:00Z,2024,7,4
2024-07-21T23:00:00Z,2024,7,21
2024-08-25T22:00:00Z,2024,8,25
2024-11-23T00:30:00Z,2024,11,23
2024-11-06T00:30:00Z,2024,11,6
2024-04-28T14:00:00Z,2024,4,28
2024-09-22T00:00:00Z,2024,9,22
2024-11-09T00:30:00Z,2024,11,9
2024-09-01T00:00:00Z,2024,9,1
2024-06-13T22:00:00Z,2024,6,13
2024-11-04T23:00:00Z,2024,11,4
2024-06-27T00:30:00Z,2024,6,27
2024-06-26T23:00:00Z,2024,6,26
2024-11-09T19:30:00Z,2024,11,9
2024-10-27T01:00:00Z,2024,10,27
2024-08-25T23:00:00Z,2024,8,25
2024-05-12T21:30:00Z,2024,5,12
2024-06-22T20:30:00Z,2024,6,22
2024-11-09T22:00:00Z,2024,11,9
2024-04-19T00:30:00Z,2024,4,19
2024-12-01T00:30:00Z,2024,12,1
2024-06-02T00:00:00Z,2024,6,2
2024-06-16T00:00:00Z,2024,6,16
2024-09-15T00:00:00Z,2024,9,15
2024-11-27T00:30:00Z,2024,11,27
2024-06-05T22:00:00Z,2024,6,5
2024-08-06T00:00:00Z,2024,8,6
2024-04-17T23:00:00Z,2024,4,17
2024-04-29T23:00:00Z,2024,4,29
2024-11-13T23:00:00Z,2024,11,13
2024-06-05T23:00:00Z,2024,6,5
2024-07-21T19:00:00Z,2024,7,21
2024-07-10T22:00:00Z,2024,7,10
2024-04-17T00:30:00Z,2024,4,17
2024-08-10T22:00:00Z,2024,8,10
2024-06-19T23:00:00Z,2024,6,19
2024-07-21T14:00:00Z,2024,7,21
2024-09-29T14:00:00Z,2024,9,29
2024-10-19T19:00:00Z,2024,10,19
2024-10-24T22:00:00Z,2024,10,24
2024-11-26T22:00:00Z,2024,11,26
2024-09-29T19:00:00Z,2024,9,29
2024-09-29T21:30:00Z,2024,9,29
2024-07-07T23:30:00Z,2024,7,7
2024-11-20T22:00:00Z,2024,11,20
2024-11-26T23:00:00Z,2024,11,26
2024-07-24T22:30:00Z,2024,7,24
2024-06-29T21:30:00Z,2024,6,29
2024-08-24T19:00:00Z,2024,8,24
2024-11-16T21:30:00Z,2024,11,16
2024-12-03T23:00:00Z,2024,12,3
2024-06-30T19:00:00Z,2024,6,30
2024-04-14T21:30:00Z,2024,4,14
2024-09-21T19:00:00Z,2024,9,21
2024-05-04T19:00:00Z,2024,5,4
2024-06-22T21:30:00Z,2024,6,22
2024-10-29T00:00:00Z,2024,10,29
2024-08-25T21:30:00Z,2024,8,25
2024-07-28T22:00:00Z,2024,7,28
2024-08-25T19:00:00Z,2024,8,25
2024-12-01T19:00:00Z,2024,12,1
2024-06-09T19:00:00Z,2024,6,9
2024-08-11T14:00:00Z,2024,8,11
2024-10-18T23:00:00Z,2024,10,18
2024-06-12T00:30:00Z,2024,6,12
